Ticker,N_days,Lifetime_MDD_%,Trough_Date,Latest_MDD_%,Avg_Rolling_MDD_%,Worst_Rolling_MDD_%,Latest_UI,Avg_UI,Worst_UI
63MOONS,1248,-60.0814,2022-11-21,-41.6421,-44.7428,-60.0814,25.066,27.411,49.5712
AARTIDRUGS,1248,-61.0376,2023-03-17,-46.6702,-37.8474,-49.4261,26.7716,22.4973,37.9572
ADVENZYMES,1248,-52.746,2025-02-28,-52.746,-35.1737,-52.746,38.9366,20.7566,40.5557
AGIIL,376,-24.763,2025-04-07,-24.763,-19.7001,-24.763,8.5691,7.7187,9.2581
AJMERA,1248,-54.9022,2022-06-20,-37.4728,-37.0673,-54.9022,21.9704,19.7245,40.1131
ALEMBICLTD,1248,-57.4243,2023-03-28,-45.8001,-38.06,-57.2118,32.8169,21.2248,40.4672
ANUP,1247,-48.4374,2022-06-13,-43.1856,-32.0908,-48.4374,30.1562,16.3657,30.1562
ARSSBL,75,-26.4229,2025-12-17,-26.4229,-13.1131,-26.4229,13.2157,5.7567,13.2157
ARVSMART,1246,-42.5504,2026-01-13,-42.2896,-30.7136,-42.2896,34.3766,15.0831,34.3766
ASHIANA,1247,-43.8516,2025-05-08,-43.8516,-32.4382,-43.8516,27.5395,17.0349,29.0355
ASHOKA,1248,-52.9487,2026-01-14,-49.2475,-34.7397,-49.2475,37.8272,18.7195,37.8272
AUTOAXLES,1247,-38.9705,2025-03-13,-26.3997,-23.2067,-31.8264,15.3629,13.2831,21.7311
AVANTEL,361,-50.3621,2025-02-18,-50.3621,-40.4139,-50.3621,30.8146,23.7314,30.8186
AWFIS,408,-49.8833,2026-01-14,-37.932,-29.8422,-37.932,29.4429,17.8455,29.4429
BAJAJCON,1248,-56.779,2022-06-20,-44.6772,-36.0089,-55.3195,27.7145,20.6467,41.8368
BALAMINES,1247,-78.1061,2026-01-07,-54.3694,-40.8265,-54.3694,40.2078,26.1004,40.2078
BALMLAWRIE,1247,-50.5945,2025-02-28,-50.5945,-28.1927,-50.5945,28.8086,14.8514,29.824
BBL,1248,-54.5443,2025-03-13,-54.5443,-28.2174,-54.5443,41.1915,14.0848,41.7391
BHAGCHEM,1052,-53.0464,2026-01-02,-38.7863,-27.6955,-38.7863,31.4167,14.0081,31.4167
BHARATRAS,1247,-40.7292,2023-03-15,-35.3268,-30.4306,-40.262,23.9462,17.7033,28.7642
BOMDYEING,1248,-60.4839,2023-03-28,-50.5548,-39.6576,-60.4839,37.2571,20.7616,37.4919
BOROLTD,1248,-44.8052,2026-01-14,-38.3117,-33.59,-44.548,31.6316,17.3818,31.6316
BRIGHOTEL,116,-27.5019,2025-12-30,-27.5019,-13.5627,-27.5019,14.2555,7.6768,14.2555
CAMLINFINE,1247,-61.4327,2024-06-04,-56.3429,-44.7304,-56.3429,29.978,24.9535,40.6054
CARRARO,263,-61.607,2025-04-09,-61.607,-54.7278,-61.607,33.7838,33.1116,41.2746
CENTUM,1247,-49.6872,2025-03-04,-49.6872,-33.0002,-49.6872,22.2236,17.1576,25.4391
CHEMPLASTS,1090,-70.081,2026-01-12,-51.0846,-39.7211,-51.1776,31.2784,24.2943,40.7265
CYIENTDLM,624,-55.4495,2025-03-26,-54.8402,-34.1952,-54.8402,42.7571,19.6253,42.7571
DATAMATICS,1248,-37.325,2024-06-04,-34.0599,-29.9203,-37.325,16.0925,14.9948,21.6611
DCAL,1248,-67.575,2023-02-06,-39.1702,-47.5638,-63.6848,21.1862,26.6483,52.3857
DDEVPLSTIK,250,-27.4016,2025-03-03,-27.4016,-25.9883,-27.4016,13.4543,13.1773,16.9107
DIAMONDYD,1246,-42.1672,2024-08-13,-29.5208,-32.6043,-42.1672,16.5311,17.9125,29.2128
