Date,Open,High,Low,Close,Volume,OH_ratio,OL_ratio,CH_ratio,CL_ratio,Price_Change,Returns,Day_Range,Mean_5,Std_5,Z_Score_5,Skew_5,Kurt_5,Z_score_5,Mean_20,Std_20,Z_Score_20,Skew_20,Kurt_20,Z_score_20,Mean_50,Std_50,Z_Score_50,Skew_50,Kurt_50,Z_score_50,Mean_100,Std_100,Z_Score_100,Skew_100,Kurt_100,Z_score_100,Mean_200,Std_200,Z_Score_200,Skew_200,Kurt_200,Z_score_200,Parkinson_Vol_5,GK_Vol_5,YZ_Vol_5,Parkinson_Vol_20,GK_Vol_20,YZ_Vol_20,Parkinson_Vol_50,GK_Vol_50,YZ_Vol_50,Parkinson_Vol_100,GK_Vol_100,YZ_Vol_100,Parkinson_Vol_200,GK_Vol_200,YZ_Vol_200,Returns_Slope_5,Returns_MSE_5,Returns_Slope_20,Returns_MSE_20,Returns_Slope_50,Returns_MSE_50,Returns_Slope_100,Returns_MSE_100,Returns_Slope_200,Returns_MSE_200
2021-01-14,1364.7,1372.3,1314.4,1325.75,129907.0,99.446185,103.826841,96.607885,100.863512,38.95,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,1334.6,1352.0,1310.0,1317.65,168542.0,98.713018,101.877863,97.45932,100.583969,16.95,-0.610975,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,1325.0,1345.0,1289.15,1306.95,49113.0,98.513011,102.780902,97.171004,101.380755,18.05,-0.812052,55.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,1314.9,1333.0,1300.35,1319.75,73478.0,98.642161,101.11893,99.006002,101.491906,4.85,0.979379,32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,1320.0,1356.0,1320.0,1349.05,270959.0,97.345133,100.0,99.487463,102.200758,29.05,2.220117,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02079,0.02167,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,1364.05,1375.0,1340.0,1362.2,139158.0,99.203636,101.794776,99.069091,101.656716,1.85,0.97476,35.0,0.550246,1.260667,0.336738,0.149289,-1.514756,0.336738,,,,,,,,,,,,,,,,,,,,,,,,,0.018605,0.020369,0.020705,,,,,,,,,,,,,0.620364,0.501723,,,,,,,,
2021-01-22,1365.0,1417.0,1352.65,1409.55,392087.0,96.330275,100.913023,99.474241,104.206557,44.55,3.475995,64.35,1.36764,1.599065,1.318492,-0.049273,0.202953,1.318492,,,,,,,,,,,,,,,,,,,,,,,,,0.020739,0.021546,0.021548,,,,,,,,,,,,,0.857147,0.576204,,,,,,,,
2021-01-25,1415.0,1415.0,1377.8,1391.2,76254.0,100.0,102.699956,98.318021,100.972565,23.8,-1.301834,37.2,1.269684,1.771658,-1.451475,-0.408838,0.660015,-1.451475,,,,,,,,,,,,,,,,,,,,,,,,,0.01875,0.018645,0.019157,,,,,,,,,,,,,-0.330655,2.292353,,,,,,,,
2021-01-27,1377.0,1409.95,1370.85,1390.1,71889.0,97.663038,100.448627,98.592149,101.404238,13.1,-0.079068,39.1,1.057994,1.875226,-0.60636,0.069177,-1.056202,-0.60636,,,,,,,,,,,,,,,,,,,,,,,,,0.019085,0.018957,0.019987,,,,,,,,,,,,,-0.687497,1.867874,,,,,,,,
2021-01-28,1375.2,1402.95,1358.0,1389.9,39302.0,98.022025,101.266568,99.069817,102.349043,14.7,-0.014387,44.95,0.611093,1.793513,-0.348746,1.154762,1.803915,-0.348746,,,,,,,,,,,,,,,,,,,,,,,,,0.019711,0.020515,0.021772,,,,,,,,,,,,,-0.553336,1.96099,,,,,,,,
