Date,Open,High,Low,Close,Volume,OH_ratio,OL_ratio,CH_ratio,CL_ratio,Price_Change,Returns,Day_Range,Mean_5,Std_5,Z_Score_5,Skew_5,Kurt_5,Z_score_5,Mean_20,Std_20,Z_Score_20,Skew_20,Kurt_20,Z_score_20,Mean_50,Std_50,Z_Score_50,Skew_50,Kurt_50,Z_score_50,Mean_100,Std_100,Z_Score_100,Skew_100,Kurt_100,Z_score_100,Mean_200,Std_200,Z_Score_200,Skew_200,Kurt_200,Z_score_200,Parkinson_Vol_5,GK_Vol_5,YZ_Vol_5,Parkinson_Vol_20,GK_Vol_20,YZ_Vol_20,Parkinson_Vol_50,GK_Vol_50,YZ_Vol_50,Parkinson_Vol_100,GK_Vol_100,YZ_Vol_100,Parkinson_Vol_200,GK_Vol_200,YZ_Vol_200,Returns_Slope_5,Returns_MSE_5,Returns_Slope_20,Returns_MSE_20,Returns_Slope_50,Returns_MSE_50,Returns_Slope_100,Returns_MSE_100,Returns_Slope_200,Returns_MSE_200
2025-02-19,745.5,788.0,708.0,762.55,18950180.0,94.606599,105.29661,96.770305,107.704802,17.05,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,749.7,806.7,745.75,798.1,6156715.0,92.934176,100.529668,98.933928,107.019779,48.4,4.661989,60.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-21,801.1,824.0,775.0,817.4,3183388.0,97.220874,103.367742,99.199029,105.470968,16.3,2.418243,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-24,808.65,840.5,797.5,805.1,2340220.0,96.210589,101.398119,95.788221,100.952978,3.55,-1.504771,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-25,805.1,828.65,787.85,822.8,2093802.0,97.158028,102.189503,99.294032,104.436124,17.7,2.198485,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043885,0.047524,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27,830.0,847.0,784.45,826.6,1028455.0,97.992916,105.806616,97.591499,105.373191,3.4,0.461838,62.55,1.647157,2.309079,-0.51333,-0.167529,0.078621,-0.51333,,,,,,,,,,,,,,,,,,,,,,,,,0.039035,0.041704,0.043484,,,,,,,,,,,,,-0.862006,2.779367,,,,,,,,
2025-02-28,817.9,826.6,793.2,808.45,1227827.0,98.947496,103.113969,97.804258,101.922592,9.45,-2.195742,33.4,0.275611,2.097638,-1.178159,-0.170852,-2.699433,-1.178159,,,,,,,,,,,,,,,,,,,,,,,,,0.034659,0.039801,0.041326,,,,,,,,,,,,,-0.726136,2.465521,,,,,,,,
2025-03-03,803.0,817.0,790.25,809.75,1226156.0,98.286414,101.613413,99.112607,102.467574,6.75,0.160802,26.75,-0.175878,1.732299,0.194354,0.24813,-0.820154,0.194354,,,,,,,,,,,,,,,,,,,,,,,,,0.031781,0.036675,0.038097,,,,,,,,,,,,,-0.106308,2.378085,,,,,,,,
2025-03-04,799.0,808.9,793.25,801.15,728757.0,98.776116,100.724866,99.041909,100.995903,2.15,-1.062056,15.65,-0.087335,1.657075,-0.588218,0.167165,-0.032595,-0.588218,,,,,,,,,,,,,,,,,,,,,,,,,0.028959,0.033292,0.03437,,,,,,,,,,,,,-0.682212,1.265893,,,,,,,,
2025-03-05,806.1,816.8,798.0,801.0,1277701.0,98.69001,101.015038,98.065622,100.37594,5.1,-0.018723,18.8,-0.530776,1.093175,0.468409,-1.059669,-0.093928,0.468409,,,,,,,,,,,,,,,,,,,,,,,,,0.026341,0.030677,0.032079,,,,,,,,,,,,,0.017256,0.95543,,,,,,,,
2025-03-06,809.95,827.9,805.1,819.25,1495937.0,97.831864,100.60241,98.955188,101.757546,9.3,2.278402,22.8,-0.167463,1.660297,1.473149,0.510766,0.778435,1.473149,,,,,,,,,,,,,,,,,,,,,,,,,0.018043,0.020536,0.022207,,,,,,,,,,,,,0.876876,0.667446,,,,,,,,
