Date,Open,High,Low,Close,Volume,OH_ratio,OL_ratio,CH_ratio,CL_ratio,Price_Change,Returns,Day_Range,Mean_5,Std_5,Z_Score_5,Skew_5,Kurt_5,Z_score_5,Mean_20,Std_20,Z_Score_20,Skew_20,Kurt_20,Z_score_20,Mean_50,Std_50,Z_Score_50,Skew_50,Kurt_50,Z_score_50,Mean_100,Std_100,Z_Score_100,Skew_100,Kurt_100,Z_score_100,Mean_200,Std_200,Z_Score_200,Skew_200,Kurt_200,Z_score_200,Parkinson_Vol_5,GK_Vol_5,YZ_Vol_5,Parkinson_Vol_20,GK_Vol_20,YZ_Vol_20,Parkinson_Vol_50,GK_Vol_50,YZ_Vol_50,Parkinson_Vol_100,GK_Vol_100,YZ_Vol_100,Parkinson_Vol_200,GK_Vol_200,YZ_Vol_200,Returns_Slope_5,Returns_MSE_5,Returns_Slope_20,Returns_MSE_20,Returns_Slope_50,Returns_MSE_50,Returns_Slope_100,Returns_MSE_100,Returns_Slope_200,Returns_MSE_200
2021-01-14,1045.1,1084.925,1045.1,1074.475,657884.0,96.329239,100.0,99.0368,102.810736,29.375,,39.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,1074.475,1080.55,1046.0,1054.175,351302.0,99.437786,102.722275,97.559113,100.781549,20.3,-1.889295,34.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,1054.0,1072.0,1030.225,1066.2,436542.0,98.320896,102.307748,99.458955,103.491956,12.2,1.140702,41.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,1062.5,1074.125,1053.75,1064.25,272456.0,98.917724,100.830368,99.080647,100.996441,1.75,-0.182893,20.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,1064.0,1067.45,1045.2,1051.15,290960.0,99.6768,101.798699,98.472996,100.569269,12.85,-1.230914,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018695,0.01937,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,1062.925,1062.925,1018.0,1026.0,496688.0,100.0,104.413065,96.526095,100.785855,36.925,-2.392618,44.925,-0.911003,1.413703,-1.048038,0.708054,-0.56859,-1.048038,,,,,,,,,,,,,,,,,,,,,,,,,0.019574,0.019611,0.020156,,,,,,,,,,,,,-0.337826,1.370591,,,,,,,,
2021-01-22,1027.5,1033.5,1006.4,1022.325,601820.0,99.419448,102.096582,98.918723,101.582373,5.175,-0.358187,27.1,-0.604782,1.310907,0.18811,-0.102088,0.333529,0.18811,,,,,,,,,,,,,,,,,,,,,,,,,0.018918,0.019384,0.020144,,,,,,,,,,,,,-0.52075,0.832421,,,,,,,,
2021-01-25,1018.5,1023.475,984.525,990.775,421748.0,99.513911,103.450903,96.805003,100.634824,27.725,-3.086103,38.95,-1.450143,1.265995,-1.292232,-0.383578,-2.182581,-1.292232,,,,,,,,,,,,,,,,,,,,,,,,,0.018775,0.017879,0.01831,,,,,,,,,,,,,-0.493369,0.795368,,,,,,,,
2021-01-27,980.0,988.125,963.05,971.375,729246.0,99.177736,101.760033,98.30487,100.864441,8.625,-1.958063,25.075,-1.805177,1.05271,-0.145231,0.325394,-0.565326,-0.145231,,,,,,,,,,,,,,,,,,,,,,,,,0.019332,0.018527,0.019435,,,,,,,,,,,,,-0.214778,0.794298,,,,,,,,
2021-01-28,968.95,969.375,939.05,948.6,565600.0,99.956157,103.184069,97.856867,101.016985,20.35,-2.344615,30.325,-2.027917,1.018079,-0.311074,1.338723,2.535418,-0.311074,,,,,,,,,,,,,,,,,,,,,,,,,0.020361,0.019403,0.020424,,,,,,,,,,,,,-0.150387,0.783955,,,,,,,,
