Date,Open,High,Low,Close,Volume,OH_ratio,OL_ratio,CH_ratio,CL_ratio,Price_Change,Returns,Day_Range,Mean_5,Std_5,Z_Score_5,Skew_5,Kurt_5,Z_score_5,Mean_20,Std_20,Z_Score_20,Skew_20,Kurt_20,Z_score_20,Mean_50,Std_50,Z_Score_50,Skew_50,Kurt_50,Z_score_50,Mean_100,Std_100,Z_Score_100,Skew_100,Kurt_100,Z_score_100,Mean_200,Std_200,Z_Score_200,Skew_200,Kurt_200,Z_score_200,Parkinson_Vol_5,GK_Vol_5,YZ_Vol_5,Parkinson_Vol_20,GK_Vol_20,YZ_Vol_20,Parkinson_Vol_50,GK_Vol_50,YZ_Vol_50,Parkinson_Vol_100,GK_Vol_100,YZ_Vol_100,Parkinson_Vol_200,GK_Vol_200,YZ_Vol_200,Returns_Slope_5,Returns_MSE_5,Returns_Slope_20,Returns_MSE_20,Returns_Slope_50,Returns_MSE_50,Returns_Slope_100,Returns_MSE_100,Returns_Slope_200,Returns_MSE_200
2021-01-14,420.0,448.4333,412.0,437.4333,1036104.0,93.659414,101.941748,97.547015,106.173131,17.4333,,36.4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,436.6667,437.2333,420.3,422.6333,572469.0,99.870412,103.894052,96.660822,100.555151,14.0334,-3.383373,16.9333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,422.6667,436.6333,401.5667,429.7333,821262.0,96.801298,105.25442,98.419727,107.014177,7.0666,1.679943,35.0666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,431.3333,438.6333,422.6667,434.3,493132.0,98.33574,102.050457,99.012091,102.752358,2.9667,1.062682,15.9666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,434.3,443.3333,418.0333,433.3333,501213.0,97.962413,103.891245,97.744361,103.659996,0.9667,-0.222588,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038527,0.042688,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,438.1667,453.3333,435.0,446.0333,971202.0,96.654426,100.727977,98.389706,102.536391,7.8666,2.930769,18.3333,0.413487,2.407427,1.045632,-1.097074,1.336545,1.045632,,,,,,,,,,,,,,,,,,,,,,,,,0.033005,0.037121,0.037365,,,,,,,,,,,,,1.072575,2.335727,,,,,,,,
2021-01-22,447.7667,448.9333,431.0667,434.3333,211842.0,99.74014,103.87411,96.747847,100.757795,13.4334,-2.623123,17.8666,0.565537,2.113769,-1.508519,-0.801698,0.5573,-1.508519,,,,,,,,,,,,,,,,,,,,,,,,,0.033102,0.037385,0.037629,,,,,,,,,,,,,-0.673804,2.666389,,,,,,,,
2021-01-25,436.5333,440.6333,403.3333,408.4,1058257.0,99.069521,108.231406,92.684779,101.256207,28.1333,-5.970829,37.3,-0.964618,3.451354,-1.450506,-0.630179,-0.22011,-1.450506,,,,,,,,,,,,,,,,,,,,,,,,,0.033978,0.034021,0.033425,,,,,,,,,,,,,-1.646756,4.105868,,,,,,,,
2021-01-27,406.6667,407.9,378.0,383.1667,2078022.0,99.697646,107.583783,93.93643,101.366852,23.5,-6.178575,29.9,-2.412869,3.880581,-0.970397,0.460912,-1.386964,-0.970397,,,,,,,,,,,,,,,,,,,,,,,,,0.038384,0.036461,0.035826,,,,,,,,,,,,,-2.081357,3.38303,,,,,,,,
2021-01-28,379.4,396.5,371.3333,392.1667,1132642.0,95.687264,102.172361,98.907112,105.610431,12.7667,2.348847,25.1667,-1.898582,4.381489,0.969403,0.212739,-2.97937,0.969403,,,,,,,,,,,,,,,,,,,,,,,,,0.039173,0.036467,0.036009,,,,,,,,,,,,,-0.47193,14.912522,,,,,,,,
2021-01-29,396.3,396.6,360.8667,365.8,1594704.0,99.924357,109.818944,92.233989,101.36707,30.5,-6.72334,35.7333,-3.829404,3.811334,-0.759297,1.43416,1.364069,-0.759297,,,,,,,,,,,,,,,,,,,,,,,,,0.045328,0.039748,0.039312,,,,,,,,,,,,,0.011924,11.62073,,,,,,,,
2021-02-01,374.0,396.3333,359.1333,387.5333,1325202.0,94.365021,104.139605,97.779647,107.907927,13.5333,5.941307,37.2,-2.116518,5.861887,1.374613,0.807098,-2.117336,1.374613,,,,,,,,,,,,,,,,,,,,,,,,,0.051346,0.048585,0.048538,,,,,,,,,,,,,2.327951,16.650662,,,,,,,,
2021-02-02,397.8,410.7333,382.6333,384.7333,882912.0,96.851168,103.963769,93.669858,100.548828,13.0667,-0.722519,28.1,-1.066856,5.454939,0.063124,0.178511,-1.993324,0.063124,,,,,,,,,,,,,,,,,,,,,,,,,0.049339,0.048343,0.050149,,,,,,,,,,,,,1.450457,19.597432,,,,,,,,
2021-02-03,389.3333,393.9333,379.5333,386.1,730065.0,98.83229,102.582119,98.011516,101.730204,3.2333,0.355233,14.4,0.239906,4.647041,0.024817,-0.597085,1.189166,0.024817,,,,,,,,,,,,,,,,,,,,,,,,,0.046004,0.046525,0.04865,,,,,,,,,,,,,0.201359,17.1949,,,,,,,,
2021-02-04,388.0,394.6667,385.5,389.5667,410293.0,98.310803,100.648508,98.70777,101.054916,1.5667,0.897876,9.1667,-0.050288,4.526151,0.209486,-0.365963,1.747589,0.209486,,,,,,,,,,,,,,,,,,,,,,,,,0.042965,0.04328,0.045666,,,,,,,,,,,,,0.965636,14.523932,,,,,,,,
2021-02-05,392.6,394.9333,383.3333,390.2333,320749.0,99.409191,102.4174,98.809926,101.8,2.3667,0.171113,11.6,1.328602,2.643714,-0.437827,1.961,4.107131,-0.437827,,,,,,,,,,,,,,,,,,,,,,,,,0.035595,0.039537,0.042138,,,,,,,,,,,,,-0.991999,3.623254,,,,,,,,
2021-02-08,390.6667,393.3333,385.7667,391.7333,255435.0,99.322051,101.270198,99.59322,101.546686,1.0666,0.384385,7.5666,0.217218,0.59066,0.283018,-1.025821,2.225195,0.283018,,,,,,,,,,,,,,,,,,,,,,,,,0.024361,0.026954,0.030227,,,,,,,,,,,,,0.202969,0.196711,,,,,,,,
2021-02-09,394.6667,398.6667,388.7,391.5667,259447.0,98.996656,101.53504,98.219064,100.73751,3.1,-0.042529,9.9667,0.353216,0.349072,-1.133704,0.916781,1.566473,-1.133704,,,,,,,,,,,,,,,,,,,,,,,,,0.016656,0.01923,0.020216,,,,,,,,,,,,,-0.130901,0.063211,,,,,,,,
2021-02-10,393.3333,397.3,387.3333,391.0,165310.0,99.001586,101.549053,98.414297,100.946652,2.3333,-0.144726,9.9667,0.253224,0.413931,-0.961392,1.061689,0.761753,-0.961392,,,,,,,,,,,,,,,,,,,,,,,,,0.014965,0.017271,0.017857,,,,,,,,,,,,,-0.229885,0.031377,,,,,,,,
2021-02-11,391.0,394.7667,384.6667,386.4,254409.0,99.045842,101.646438,97.880596,100.450598,4.6,-1.176471,10.1,-0.161645,0.602749,-1.683663,-1.605532,3.004415,-1.683663,,,,,,,,,,,,,,,,,,,,,,,,,0.015251,0.01734,0.017752,0.035698,0.036489,,,,,,,,,,,-0.322428,0.082725,,,,,,,,
2021-02-12,388.0,390.5,380.0333,383.4333,414139.0,99.359795,102.096316,98.190346,100.894658,4.5667,-0.76778,10.4667,-0.349424,0.619191,-0.675649,-0.362097,-1.204804,-0.675649,-0.609185,3.136954,-0.050557,-0.399829,0.473823,-0.050557,,,,,,,,,,,,,,,,,,,0.01489,0.016661,0.016573,0.034032,0.034636,0.035295,,,,,,,,,,-0.343827,0.070284,0.050154,9.26482,,,,,,
