Date,Open,High,Low,Close,Volume,OH_ratio,OL_ratio,CH_ratio,CL_ratio,Price_Change,Returns,Day_Range,Mean_5,Std_5,Z_Score_5,Skew_5,Kurt_5,Z_score_5,Mean_20,Std_20,Z_Score_20,Skew_20,Kurt_20,Z_score_20,Mean_50,Std_50,Z_Score_50,Skew_50,Kurt_50,Z_score_50,Mean_100,Std_100,Z_Score_100,Skew_100,Kurt_100,Z_score_100,Mean_200,Std_200,Z_Score_200,Skew_200,Kurt_200,Z_score_200,Parkinson_Vol_5,GK_Vol_5,YZ_Vol_5,Parkinson_Vol_20,GK_Vol_20,YZ_Vol_20,Parkinson_Vol_50,GK_Vol_50,YZ_Vol_50,Parkinson_Vol_100,GK_Vol_100,YZ_Vol_100,Parkinson_Vol_200,GK_Vol_200,YZ_Vol_200,Returns_Slope_5,Returns_MSE_5,Returns_Slope_20,Returns_MSE_20,Returns_Slope_50,Returns_MSE_50,Returns_Slope_100,Returns_MSE_100,Returns_Slope_200,Returns_MSE_200
2024-08-09,76.0,91.2,76.0,91.2,525179173.0,83.333333,100.0,100.0,120.0,15.2,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,97.0,109.44,95.0,109.44,210295560.0,88.633041,102.105263,100.0,115.2,12.44,20.0,14.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,120.98,129.4,105.21,108.17,365044065.0,93.493045,114.989069,83.593509,102.813421,12.81,-1.160453,24.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,110.0,113.4,100.36,110.9,160539788.0,97.001764,109.60542,97.795414,110.502192,0.9,2.523805,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,121.0,133.08,117.0,133.08,338763140.0,90.922753,103.418803,100.0,113.74359,12.08,20.0,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095939,0.085989,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19,139.39,146.38,136.0,146.38,192359284.0,95.224757,102.492647,100.0,107.632353,6.99,9.993989,10.38,10.271468,9.74783,-0.028466,-0.052906,-2.656312,-0.028466,,,,,,,,,,,,,,,,,,,,,,,,,0.084833,0.083631,0.108796,,,,,,,,,,,,,0.114843,75.989776,,,,,,,,
2024-08-20,153.8,157.4,132.65,137.79,309136273.0,97.712834,115.944214,87.541296,103.874859,16.01,-5.868288,24.75,5.09781,10.150055,-1.080398,0.735509,-0.23524,-1.080398,,,,,,,,,,,,,,,,,,,,,,,,,0.088676,0.090056,0.111889,,,,,,,,,,,,,-0.194549,82.343201,,,,,,,,
2024-08-21,143.0,143.5,135.22,138.05,113015397.0,99.651568,105.753587,96.202091,102.092886,4.95,0.188693,8.28,5.36764,9.958213,-0.520068,0.696822,0.010854,-0.520068,,,,,,,,,,,,,,,,,,,,,,,,,0.070915,0.07108,0.089091,,,,,,,,,,,,,-3.053851,60.680791,,,,,,,,
2024-08-22,139.0,139.0,126.05,131.32,107214397.0,100.0,110.273701,94.47482,104.180881,7.68,-4.875045,12.95,3.88787,10.983404,-0.797832,0.867387,-0.791255,-0.797832,,,,,,,,,,,,,,,,,,,,,,,,,0.068135,0.065361,0.083302,,,,,,,,,,,,,-5.955539,25.571246,,,,,,,,
2024-08-23,131.0,132.47,125.55,126.26,58941772.0,98.890315,104.3409,95.312146,100.565512,4.74,-3.853183,6.92,-0.882767,6.501325,-0.456894,1.628855,2.458037,-0.456894,,,,,,,,,,,,,,,,,,,,,,,,,0.060446,0.059129,0.067904,,,,,,,,,,,,,-2.67011,19.554808,,,,,,,,
2024-08-26,123.43,132.7,118.6,125.3,162419382.0,93.014318,104.072513,94.423512,105.649241,1.87,-0.760336,14.1,-3.033632,2.629116,0.864662,0.358477,-2.478877,0.864662,,,,,,,,,,,,,,,,,,,,,,,,,0.064605,0.066217,0.070934,,,,,,,,,,,,,0.617403,4.767426,,,,,,,,
2024-08-27,126.0,131.0,125.75,127.53,62973982.0,96.183206,100.198807,97.351145,101.415507,1.53,1.779729,5.25,-1.504029,2.787639,1.177971,-0.203901,-2.113436,1.177971,,,,,,,,,,,,,,,,,,,,,,,,,0.046726,0.050473,0.054034,,,,,,,,,,,,,0.729678,5.151885,,,,,,,,
