Date,Open,High,Low,Close,Volume,OH_ratio,OL_ratio,CH_ratio,CL_ratio,Price_Change,Returns,Day_Range,Mean_5,Std_5,Z_Score_5,Skew_5,Kurt_5,Z_score_5,Mean_20,Std_20,Z_Score_20,Skew_20,Kurt_20,Z_score_20,Mean_50,Std_50,Z_Score_50,Skew_50,Kurt_50,Z_score_50,Mean_100,Std_100,Z_Score_100,Skew_100,Kurt_100,Z_score_100,Mean_200,Std_200,Z_Score_200,Skew_200,Kurt_200,Z_score_200,Parkinson_Vol_5,GK_Vol_5,YZ_Vol_5,Parkinson_Vol_20,GK_Vol_20,YZ_Vol_20,Parkinson_Vol_50,GK_Vol_50,YZ_Vol_50,Parkinson_Vol_100,GK_Vol_100,YZ_Vol_100,Parkinson_Vol_200,GK_Vol_200,YZ_Vol_200,Returns_Slope_5,Returns_MSE_5,Returns_Slope_20,Returns_MSE_20,Returns_Slope_50,Returns_MSE_50,Returns_Slope_100,Returns_MSE_100,Returns_Slope_200,Returns_MSE_200
2021-01-14,109.495,109.725,106.7,108.46,669350.0,99.790385,102.619494,98.847118,101.649485,1.035,,3.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,108.99,110.7,106.725,108.04,1241000.0,98.455285,102.122277,97.597109,101.232139,0.95,-0.38724,3.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,108.6,109.7,104.5,105.31,407840.0,98.997265,103.923445,95.998177,100.77512,3.29,-2.526842,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,106.01,108.48,106.01,108.005,260890.0,97.723083,100.0,99.562131,101.881898,1.995,2.559111,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,108.46,109.3,107.3,108.245,270960.0,99.231473,101.081081,99.034767,100.880708,0.215,0.222212,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019642,0.020535,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,108.98,112.83,107.52,108.275,586690.0,96.587787,101.357887,95.962953,100.702195,0.705,0.027715,5.31,-0.021009,1.811896,0.026891,0.098532,1.715005,0.026891,,,,,,,,,,,,,,,,,,,,,,,,,0.022295,0.024076,0.024865,,,,,,,,,,,,,0.357896,2.370195,,,,,,,,
2021-01-22,108.11,109.315,105.435,107.01,276380.0,98.897681,102.537108,97.891415,101.493811,1.1,-1.168321,3.88,-0.177225,1.883617,-0.526166,0.412464,0.691866,-0.526166,,,,,,,,,,,,,,,,,,,,,,,,,0.022244,0.023966,0.024692,,,,,,,,,,,,,0.018564,2.837722,,,,,,,,
2021-01-25,107.1,108.47,104.5,105.745,352150.0,98.736978,102.488038,97.487785,101.191388,1.355,-1.182133,3.97,0.091717,1.526397,-0.834547,1.283616,1.721692,-0.834547,,,,,,,,,,,,,,,,,,,,,,,,,0.020615,0.023198,0.023856,,,,,,,,,,,,,-0.887302,0.2893,,,,,,,,
2021-01-27,105.3,105.745,102.465,102.595,275140.0,99.579176,102.766798,97.021136,100.126873,2.705,-2.978864,3.28,-1.015878,1.277316,-1.536805,-0.907264,0.633419,-1.536805,,,,,,,,,,,,,,,,,,,,,,,,,0.021409,0.023641,0.024136,,,,,,,,,,,,,-0.7612,0.146379,,,,,,,,
2021-01-28,101.9,104.8,101.7,103.985,249700.0,97.232824,100.196657,99.222328,102.246804,2.085,1.354842,3.1,-0.789352,1.609117,1.332529,-0.020792,0.317458,1.332529,,,,,,,,,,,,,,,,,,,,,,,,,0.022333,0.024157,0.024788,,,,,,,,,,,,,0.084371,2.057168,,,,,,,,
2021-01-29,104.7,106.8,103.0,103.385,149990.0,98.033708,101.650485,96.802434,100.373786,1.315,-0.577006,3.8,-0.910297,1.554138,0.214453,0.307524,1.568547,0.214453,,,,,,,,,,,,,,,,,,,,,,,,,0.020636,0.021757,0.021758,,,,,,,,,,,,,0.37196,1.655567,,,,,,,,
2021-02-01,102.725,108.8,101.21,107.515,352550.0,94.41636,101.496888,98.818934,106.229622,4.79,3.994777,7.59,0.122323,2.660969,1.455279,0.609383,0.048251,1.455279,,,,,,,,,,,,,,,,,,,,,,,,,0.026624,0.026708,0.026451,,,,,,,,,,,,,1.275568,2.41046,,,,,,,,
2021-02-02,108.2,111.0,108.2,110.285,528220.0,97.477477,100.0,99.355856,101.926987,2.085,2.576385,2.8,0.874027,2.730318,0.623502,-0.507949,-0.619842,0.623502,,,,,,,,,,,,,,,,,,,,,,,,,0.025605,0.024978,0.025165,,,,,,,,,,,,,1.375043,2.182222,,,,,,,,
2021-02-03,113.8,113.8,109.0,111.905,666000.0,100.0,104.40367,98.334798,102.665138,1.895,1.468921,4.8,1.763584,1.686055,-0.174764,-0.110587,0.548489,-0.174764,,,,,,,,,,,,,,,,,,,,,,,,,0.026795,0.027219,0.031435,,,,,,,,,,,,,0.338155,2.045527,,,,,,,,
